,currency,event,impact,previous_value,forecast_value,actual_value
5883,JPY,Revised Industrial Production m/m,Low Impact Expected,6.2%,6.2%,6.5%
5884,CAD,Manufacturing Sales m/m,Low Impact Expected,-0.3%,2.0%,2.1%
5885,CAD,Wholesale Sales m/m,Low Impact Expected,0.5%,-1.8%,-0.8%
5886,USD,Empire State Manufacturing Index,Low Impact Expected,43.0,28.9,18.3
5887,GBP,CB Leading Index m/m,Low Impact Expected,0.9%,,0.4%
5888,USD,President Biden Speaks,Low Impact Expected,,,
5889,USD,TIC Long-Term Purchases,Low Impact Expected,-30.0B,110.9B,110.9B
5890,NZD,BusinessNZ Services Index,Low Impact Expected,58.4,,57.9
5891,GBP,Rightmove HPI m/m,Low Impact Expected,0.7%,,-0.3%
5892,JPY,Prelim GDP Price Index y/y,Low Impact Expected,-0.1%,-0.9%,-0.7%
5893,JPY,Prelim GDP q/q,Low Impact Expected,-1.0%,0.1%,0.3%
5894,CNY,New Home Prices m/m,Low Impact Expected,0.41%,,0.30%
5895,CNY,Fixed Asset Investment ytd/y,Low Impact Expected,12.6%,11.3%,10.3%
5896,CNY,Industrial Production y/y,Low Impact Expected,8.3%,7.9%,6.4%
5897,CNY,Retail Sales y/y,Low Impact Expected,12.1%,10.9%,8.5%
5898,CNY,Unemployment Rate,Low Impact Expected,5.0%,5.0%,5.1%
5899,JPY,Revised Industrial Production m/m,Low Impact Expected,6.2%,6.2%,6.5%
5900,CAD,Manufacturing Sales m/m,Low Impact Expected,-0.3%,2.0%,2.1%
5901,CAD,Wholesale Sales m/m,Low Impact Expected,0.5%,-1.8%,-0.8%
5902,USD,Empire State Manufacturing Index,Low Impact Expected,43.0,28.9,18.3
5903,GBP,CB Leading Index m/m,Low Impact Expected,0.9%,,0.4%
5904,USD,President Biden Speaks,Low Impact Expected,,,
5905,USD,TIC Long-Term Purchases,Low Impact Expected,-30.0B,110.9B,110.9B
5906,AUD,Monetary Policy Meeting Minutes,Medium Impact Expected,,,
5907,JPY,Tertiary Industry Activity m/m,Low Impact Expected,-2.9%,1.8%,2.3%
5908,GBP,Average Earnings Index 3m/y,Low Impact Expected,7.4%,8.6%,8.8%
5909,GBP,Claimant Count Change,Low Impact Expected,-136.1K,-84.1K,-7.8K
5910,GBP,Unemployment Rate,Low Impact Expected,4.8%,4.8%,4.7%
5911,EUR,Flash Employment Change q/q,Low Impact Expected,-0.2%,0.2%,0.5%
5912,EUR,Flash GDP q/q,Low Impact Expected,2.0%,2.0%,2.0%
5913,CAD,Housing Starts,Low Impact Expected,281K,281K,272K
5914,CAD,Foreign Securities Purchases,Low Impact Expected,20.81B,11.5B,19.63B
5915,USD,Core Retail Sales m/m,High Impact Expected,1.6%,0.2%,-0.4%
5916,USD,Retail Sales m/m,High Impact Expected,0.7%,-0.2%,-1.1%
5917,USD,Industrial Production m/m,Medium Impact Expected,0.2%,0.5%,0.9%
5918,USD,Capacity Utilization Rate,Low Impact Expected,75.4%,75.7%,76.1%
5919,USD,Business Inventories m/m,Low Impact Expected,0.6%,0.8%,0.8%
5920,USD,NAHB Housing Market Index,Low Impact Expected,80,80,75
5921,NZD,GDT Price Index,Low Impact Expected,-1.0%,,0.3%
5922,USD,Fed Chair Powell Speaks,High Impact Expected,,,
5923,AUD,Monetary Policy Meeting Minutes,Medium Impact Expected,,,
5924,JPY,Tertiary Industry Activity m/m,Low Impact Expected,-2.9%,1.8%,2.3%
5925,GBP,Average Earnings Index 3m/y,Low Impact Expected,7.4%,8.6%,8.8%
5926,GBP,Claimant Count Change,Low Impact Expected,-136.1K,-84.1K,-7.8K
5927,GBP,Unemployment Rate,Low Impact Expected,4.8%,4.8%,4.7%
5928,EUR,Flash Employment Change q/q,Low Impact Expected,-0.2%,0.2%,0.5%
5929,EUR,Flash GDP q/q,Low Impact Expected,2.0%,2.0%,2.0%
5930,CAD,Housing Starts,Low Impact Expected,281K,281K,272K
5931,CAD,Foreign Securities Purchases,Low Impact Expected,20.81B,11.5B,19.63B
5932,USD,Core Retail Sales m/m,High Impact Expected,1.6%,0.2%,-0.4%
5933,USD,Retail Sales m/m,High Impact Expected,0.7%,-0.2%,-1.1%
5934,USD,Industrial Production m/m,Medium Impact Expected,0.2%,0.5%,0.9%
5935,USD,Capacity Utilization Rate,Low Impact Expected,75.4%,75.7%,76.1%
5936,USD,Business Inventories m/m,Low Impact Expected,0.6%,0.8%,0.8%
5937,USD,NAHB Housing Market Index,Low Impact Expected,80,80,75
5938,NZD,GDT Price Index,Low Impact Expected,-1.0%,,0.3%
5939,USD,Fed Chair Powell Speaks,High Impact Expected,,,
5940,NZD,PPI Input q/q,Low Impact Expected,2.1%,0.9%,3.0%
5941,NZD,PPI Output q/q,Low Impact Expected,1.2%,0.4%,2.6%
5942,JPY,Core Machinery Orders m/m,Low Impact Expected,7.8%,-2.7%,-1.5%
5943,JPY,Trade Balance,Low Impact Expected,-0.06T,0.12T,0.05T
5944,AUD,MI Leading Index m/m,Low Impact Expected,-0.1%,,-0.1%
5945,AUD,Wage Price Index q/q,Low Impact Expected,0.6%,0.6%,0.4%
5946,NZD,Official Cash Rate,High Impact Expected,0.25%,0.50%,0.25%
5947,NZD,RBNZ Monetary Policy Statement,High Impact Expected,,,
5948,NZD,RBNZ Rate Statement,High Impact Expected,,,
5949,NZD,RBNZ Press Conference,High Impact Expected,,,
5950,GBP,CPI y/y,High Impact Expected,2.5%,2.3%,2.0%
5951,GBP,Core CPI y/y,Low Impact Expected,2.3%,2.0%,1.8%
5952,GBP,PPI Input m/m,Low Impact Expected,0.5%,0.5%,0.8%
5953,GBP,PPI Output m/m,Low Impact Expected,0.6%,0.5%,0.6%
5954,GBP,RPI y/y,Low Impact Expected,3.9%,3.6%,3.8%
5955,GBP,HPI y/y,Low Impact Expected,9.8%,11.3%,13.2%
5956,EUR,Final Core CPI y/y,Low Impact Expected,0.7%,0.7%,0.7%
5957,EUR,Final CPI y/y,Low Impact Expected,1.9%,2.2%,2.2%
5958,EUR,German 30-y Bond Auction,Low Impact Expected,0.03|1.3,,-0.04|2.0
5959,CAD,CPI m/m,High Impact Expected,0.3%,0.3%,0.6%
5960,CAD,Common CPI y/y,Medium Impact Expected,1.7%,1.8%,1.7%
5961,CAD,Median CPI y/y,Medium Impact Expected,2.4%,2.4%,2.6%
5962,CAD,Trimmed CPI y/y,Medium Impact Expected,2.7%,2.5%,3.1%
5963,USD,Building Permits,Low Impact Expected,1.59M,1.61M,1.64M
5964,USD,Housing Starts,Low Impact Expected,1.65M,1.60M,1.53M
5965,CAD,Core CPI m/m,Low Impact Expected,0.3%,,0.6%
5966,USD,Crude Oil Inventories,Medium Impact Expected,-0.4M,-1.5M,-3.2M
5967,USD,FOMC Meeting Minutes,High Impact Expected,,,
5968,NZD,PPI Input q/q,Low Impact Expected,2.1%,0.9%,3.0%
5969,NZD,PPI Output q/q,Low Impact Expected,1.2%,0.4%,2.6%
5970,JPY,Core Machinery Orders m/m,Low Impact Expected,7.8%,-2.7%,-1.5%
5971,JPY,Trade Balance,Low Impact Expected,-0.06T,0.12T,0.05T
5972,AUD,MI Leading Index m/m,Low Impact Expected,-0.1%,,-0.1%
5973,AUD,Wage Price Index q/q,Low Impact Expected,0.6%,0.6%,0.4%
5974,NZD,Official Cash Rate,High Impact Expected,0.25%,0.50%,0.25%
5975,NZD,RBNZ Monetary Policy Statement,High Impact Expected,,,
5976,NZD,RBNZ Rate Statement,High Impact Expected,,,
5977,NZD,RBNZ Press Conference,High Impact Expected,,,
5978,GBP,CPI y/y,High Impact Expected,2.5%,2.3%,2.0%
5979,GBP,Core CPI y/y,Low Impact Expected,2.3%,2.0%,1.8%
5980,GBP,PPI Input m/m,Low Impact Expected,0.5%,0.5%,0.8%
5981,GBP,PPI Output m/m,Low Impact Expected,0.6%,0.5%,0.6%
5982,GBP,RPI y/y,Low Impact Expected,3.9%,3.6%,3.8%
5983,GBP,HPI y/y,Low Impact Expected,9.8%,11.3%,13.2%
5984,EUR,Final Core CPI y/y,Low Impact Expected,0.7%,0.7%,0.7%
5985,EUR,Final CPI y/y,Low Impact Expected,1.9%,2.2%,2.2%
5986,EUR,German 30-y Bond Auction,Low Impact Expected,0.03|1.3,,-0.04|2.0
5987,CAD,CPI m/m,High Impact Expected,0.3%,0.3%,0.6%
5988,CAD,Common CPI y/y,Medium Impact Expected,1.7%,1.8%,1.7%
5989,CAD,Median CPI y/y,Medium Impact Expected,2.4%,2.4%,2.6%
5990,CAD,Trimmed CPI y/y,Medium Impact Expected,2.7%,2.5%,3.1%
5991,USD,Building Permits,Low Impact Expected,1.59M,1.61M,1.64M
5992,USD,Housing Starts,Low Impact Expected,1.65M,1.60M,1.53M
5993,CAD,Core CPI m/m,Low Impact Expected,0.3%,,0.6%
5994,USD,Crude Oil Inventories,Medium Impact Expected,-0.4M,-1.5M,-3.2M
5995,USD,FOMC Meeting Minutes,High Impact Expected,,,
5996,AUD,Employment Change,High Impact Expected,29.1K,-42.5K,2.2K
5997,AUD,Unemployment Rate,High Impact Expected,4.9%,5.0%,4.6%
5998,CHF,Trade Balance,Low Impact Expected,5.47B,4.78B,5.25B
5999,EUR,Current Account,Low Impact Expected,13.9B,12.3B,21.8B
6000,USD,Philly Fed Manufacturing Index,Medium Impact Expected,21.9,23.2,19.4
6001,USD,Unemployment Claims,Medium Impact Expected,377K,362K,348K
6002,CAD,ADP Non-Farm Employment Change,Low Impact Expected,-106.2K,,221.3K
6003,USD,CB Leading Index m/m,Low Impact Expected,0.5%,0.7%,0.9%
6004,USD,Mortgage Delinquencies,Low Impact Expected,6.38%,,5.47%
6005,USD,Natural Gas Storage,Low Impact Expected,49B,28B,46B
6006,AUD,Employment Change,High Impact Expected,29.1K,-42.5K,2.2K
6007,AUD,Unemployment Rate,High Impact Expected,4.9%,5.0%,4.6%
6008,CHF,Trade Balance,Low Impact Expected,5.47B,4.78B,5.25B
6009,EUR,Current Account,Low Impact Expected,13.9B,12.3B,21.8B
6010,USD,Philly Fed Manufacturing Index,Medium Impact Expected,21.9,23.2,19.4
6011,USD,Unemployment Claims,Medium Impact Expected,377K,362K,348K
6012,CAD,ADP Non-Farm Employment Change,Low Impact Expected,-106.2K,,221.3K
6013,USD,CB Leading Index m/m,Low Impact Expected,0.5%,0.7%,0.9%
6014,USD,Mortgage Delinquencies,Low Impact Expected,6.38%,,5.47%
6015,USD,Natural Gas Storage,Low Impact Expected,49B,28B,46B
6016,GBP,GfK Consumer Confidence,Low Impact Expected,-7,-7,-8
6017,AUD,RBA Assist Gov Kent Speaks,Low Impact Expected,,,
6018,JPY,National Core CPI y/y,Low Impact Expected,0.2%,-0.4%,-0.2%
6019,CNY,1-y Loan Prime Rate,Medium Impact Expected,3.85%,3.85%,3.85%
6020,CNY,5-y Loan Prime Rate,Medium Impact Expected,4.65%,4.65%,4.65%
6021,NZD,Credit Card Spending y/y,Low Impact Expected,6.4%,,6.9%
6022,EUR,German PPI m/m,Low Impact Expected,1.3%,0.8%,1.9%
6023,GBP,Retail Sales m/m,Medium Impact Expected,0.2%,0.2%,-2.5%
6024,GBP,Public Sector Net Borrowing,Low Impact Expected,20.7B,10.8B,9.6B
6025,CAD,Core Retail Sales m/m,Medium Impact Expected,-1.7%,4.5%,4.7%
6026,CAD,NHPI m/m,Low Impact Expected,0.6%,1.3%,0.4%
6027,CAD,Retail Sales m/m,Low Impact Expected,-1.9%,4.4%,4.2%
6028,GBP,GfK Consumer Confidence,Low Impact Expected,-7,-7,-8
6029,AUD,RBA Assist Gov Kent Speaks,Low Impact Expected,,,
6030,JPY,National Core CPI y/y,Low Impact Expected,0.2%,-0.4%,-0.2%
6031,CNY,1-y Loan Prime Rate,Medium Impact Expected,3.85%,3.85%,3.85%
6032,CNY,5-y Loan Prime Rate,Medium Impact Expected,4.65%,4.65%,4.65%
6033,NZD,Credit Card Spending y/y,Low Impact Expected,6.4%,,6.9%
6034,EUR,German PPI m/m,Low Impact Expected,1.3%,0.8%,1.9%
6035,GBP,Retail Sales m/m,Medium Impact Expected,0.2%,0.2%,-2.5%
6036,GBP,Public Sector Net Borrowing,Low Impact Expected,20.7B,10.8B,9.6B
6037,CAD,Core Retail Sales m/m,Medium Impact Expected,-1.7%,4.5%,4.7%
6038,CAD,NHPI m/m,Low Impact Expected,0.6%,1.3%,0.4%
6039,CAD,Retail Sales m/m,Low Impact Expected,-1.9%,4.4%,4.2%
6040,AUD,Flash Manufacturing PMI,Low Impact Expected,56.9,,51.7
6041,AUD,Flash Services PMI,Low Impact Expected,44.2,,43.3
6042,JPY,Flash Manufacturing PMI,Low Impact Expected,53.0,52.1,52.4
6043,EUR,French Flash Manufacturing PMI,Medium Impact Expected,58.0,57.1,57.3
6044,EUR,French Flash Services PMI,Medium Impact Expected,56.8,56.2,56.4
6045,EUR,German Flash Manufacturing PMI,High Impact Expected,65.9,65.1,62.7
6046,EUR,German Flash Services PMI,High Impact Expected,61.8,61.0,61.5
6047,EUR,Flash Manufacturing PMI,Medium Impact Expected,62.8,62.0,61.5
6048,EUR,Flash Services PMI,Medium Impact Expected,59.8,59.6,59.7
6049,GBP,Flash Manufacturing PMI,Medium Impact Expected,60.4,59.5,60.1
6050,GBP,Flash Services PMI,Medium Impact Expected,59.6,59.0,55.5
6051,EUR,German Buba Monthly Report,Low Impact Expected,,,
6052,GBP,CBI Industrial Order Expectations,Low Impact Expected,17,16,18
6053,EUR,Consumer Confidence,Low Impact Expected,-4,-5,-5
6054,USD,Flash Manufacturing PMI,Medium Impact Expected,63.4,62.4,61.2
6055,USD,Flash Services PMI,Medium Impact Expected,59.9,59.1,55.2
6056,USD,Existing Home Sales,Low Impact Expected,5.87M,5.82M,5.99M
6057,AUD,Flash Manufacturing PMI,Low Impact Expected,56.9,,51.7
6058,AUD,Flash Services PMI,Low Impact Expected,44.2,,43.3
6059,JPY,Flash Manufacturing PMI,Low Impact Expected,53.0,52.1,52.4
6060,EUR,French Flash Manufacturing PMI,Medium Impact Expected,58.0,57.1,57.3
6061,EUR,French Flash Services PMI,Medium Impact Expected,56.8,56.2,56.4
6062,EUR,German Flash Manufacturing PMI,High Impact Expected,65.9,65.1,62.7
6063,EUR,German Flash Services PMI,High Impact Expected,61.8,61.0,61.5
6064,EUR,Flash Manufacturing PMI,Medium Impact Expected,62.8,62.0,61.5
6065,EUR,Flash Services PMI,Medium Impact Expected,59.8,59.6,59.7
6066,GBP,Flash Manufacturing PMI,Medium Impact Expected,60.4,59.5,60.1
6067,GBP,Flash Services PMI,Medium Impact Expected,59.6,59.0,55.5
6068,EUR,German Buba Monthly Report,Low Impact Expected,,,
6069,GBP,CBI Industrial Order Expectations,Low Impact Expected,17,16,18
6070,EUR,Consumer Confidence,Low Impact Expected,-4,-5,-5
6071,USD,Flash Manufacturing PMI,Medium Impact Expected,63.4,62.4,61.2
6072,USD,Flash Services PMI,Medium Impact Expected,59.9,59.1,55.2
6073,USD,Existing Home Sales,Low Impact Expected,5.87M,5.82M,5.99M
6074,NZD,Retail Sales q/q,Low Impact Expected,2.8%,2.4%,3.3%
6075,NZD,Core Retail Sales q/q,Low Impact Expected,3.5%,2.1%,3.4%
6076,JPY,BOJ Core CPI y/y,Low Impact Expected,0.1%,0.1%,0.2%
6077,EUR,German Final GDP q/q,Low Impact Expected,1.5%,1.5%,1.6%
6078,GBP,MPC Member Tenreyro Speaks,Low Impact Expected,,,
6079,GBP,CBI Realized Sales,Low Impact Expected,23,19,60
6080,CAD,Corporate Profits q/q,Low Impact Expected,18.1%,,-0.4%
6081,CNY,CB Leading Index m/m,Low Impact Expected,1.2%,,0.7%
6082,USD,Richmond Manufacturing Index,Low Impact Expected,27,25,9
6083,USD,New Home Sales,Low Impact Expected,701K,698K,708K
6084,AUD,CB Leading Index m/m,Low Impact Expected,0.5%,,0.5%
6085,NZD,Retail Sales q/q,Low Impact Expected,2.8%,2.4%,3.3%
6086,NZD,Core Retail Sales q/q,Low Impact Expected,3.5%,2.1%,3.4%
6087,JPY,BOJ Core CPI y/y,Low Impact Expected,0.1%,0.1%,0.2%
6088,EUR,German Final GDP q/q,Low Impact Expected,1.5%,1.5%,1.6%
6089,GBP,MPC Member Tenreyro Speaks,Low Impact Expected,,,
6090,GBP,CBI Realized Sales,Low Impact Expected,23,19,60
6091,CAD,Corporate Profits q/q,Low Impact Expected,18.1%,,-0.4%
6092,CNY,CB Leading Index m/m,Low Impact Expected,1.2%,,0.7%
6093,USD,Richmond Manufacturing Index,Low Impact Expected,27,25,9
6094,USD,New Home Sales,Low Impact Expected,701K,698K,708K
6095,AUD,CB Leading Index m/m,Low Impact Expected,0.5%,,0.5%
6096,NZD,Trade Balance,Low Impact Expected,245M,100M,-402M
6097,AUD,Construction Work Done q/q,Low Impact Expected,2.4%,2.8%,0.8%
6098,CHF,Credit Suisse Economic Expectations,Low Impact Expected,42.8,,-7.8
6099,EUR,German ifo Business Climate,Medium Impact Expected,100.7,100.2,99.4
6100,USD,Core Durable Goods Orders m/m,Medium Impact Expected,0.5%,0.5%,0.7%
6101,USD,Durable Goods Orders m/m,Low Impact Expected,0.9%,-0.3%,-0.1%
6102,EUR,Belgian NBB Business Climate,Low Impact Expected,10.1,9.1,7.6
6103,USD,Crude Oil Inventories,Medium Impact Expected,-3.2M,-1.9M,-3.0M
6104,NZD,Trade Balance,Low Impact Expected,245M,100M,-402M
6105,AUD,Construction Work Done q/q,Low Impact Expected,2.4%,2.8%,0.8%
6106,CHF,Credit Suisse Economic Expectations,Low Impact Expected,42.8,,-7.8
6107,EUR,German ifo Business Climate,Medium Impact Expected,100.7,100.2,99.4
6108,USD,Core Durable Goods Orders m/m,Medium Impact Expected,0.5%,0.5%,0.7%
6109,USD,Durable Goods Orders m/m,Low Impact Expected,0.9%,-0.3%,-0.1%
6110,EUR,Belgian NBB Business Climate,Low Impact Expected,10.1,9.1,7.6
6111,USD,Crude Oil Inventories,Medium Impact Expected,-3.2M,-1.9M,-3.0M
6112,JPY,SPPI y/y,Low Impact Expected,1.3%,1.3%,1.1%
6113,AUD,Private Capital Expenditure q/q,Low Impact Expected,6.0%,2.7%,4.4%
6114,EUR,German GfK Consumer Climate,Low Impact Expected,-0.4,-0.5,-1.2
6115,EUR,M3 Money Supply y/y,Low Impact Expected,8.3%,7.6%,7.6%
6116,EUR,Private Loans y/y,Low Impact Expected,4.0%,4.1%,4.2%
6117,EUR,ECB Monetary Policy Meeting Accounts,Low Impact Expected,,,
6118,USD,Prelim GDP q/q,High Impact Expected,6.5%,6.7%,6.6%
6119,USD,Unemployment Claims,Medium Impact Expected,349K,345K,353K
6120,USD,Prelim GDP Price Index q/q,Low Impact Expected,6.0%,6.0%,6.1%
6121,USD,Natural Gas Storage,Low Impact Expected,46B,40B,29B
6122,All,Jackson Hole Symposium,High Impact Expected,,,
6123,JPY,SPPI y/y,Low Impact Expected,1.3%,1.3%,1.1%
6124,AUD,Private Capital Expenditure q/q,Low Impact Expected,6.0%,2.7%,4.4%
6125,EUR,German GfK Consumer Climate,Low Impact Expected,-0.4,-0.5,-1.2
6126,EUR,M3 Money Supply y/y,Low Impact Expected,8.3%,7.6%,7.6%
6127,EUR,Private Loans y/y,Low Impact Expected,4.0%,4.1%,4.2%
6128,EUR,ECB Monetary Policy Meeting Accounts,Low Impact Expected,,,
6129,USD,Prelim GDP q/q,High Impact Expected,6.5%,6.7%,6.6%
6130,USD,Unemployment Claims,Medium Impact Expected,349K,345K,353K
6131,USD,Prelim GDP Price Index q/q,Low Impact Expected,6.0%,6.0%,6.1%
6132,USD,Natural Gas Storage,Low Impact Expected,46B,40B,29B
6133,All,Jackson Hole Symposium,High Impact Expected,,,
6134,USD,President Biden Speaks,Low Impact Expected,,,
6135,JPY,Tokyo Core CPI y/y,Low Impact Expected,0.1%,-0.1%,0.0%
6136,AUD,Retail Sales m/m,Medium Impact Expected,-1.8%,-2.6%,-2.7%
6137,EUR,German Import Prices m/m,Low Impact Expected,1.6%,1.2%,2.2%
6138,CAD,IPPI m/m,Low Impact Expected,0.2%,1.4%,-0.4%
6139,CAD,RMPI m/m,Low Impact Expected,3.8%,2.7%,2.2%
6140,USD,Core PCE Price Index m/m,High Impact Expected,0.5%,0.3%,0.3%
6141,USD,Goods Trade Balance,Low Impact Expected,-92.1B,-90.8B,-86.4B
6142,USD,Personal Income m/m,Low Impact Expected,0.2%,0.2%,1.1%
6143,USD,Personal Spending m/m,Low Impact Expected,1.1%,0.4%,0.3%
6144,USD,Prelim Wholesale Inventories m/m,Low Impact Expected,1.1%,1.0%,0.6%
6145,USD,Fed Chair Powell Speaks,High Impact Expected,,,
6146,USD,Revised UoM Consumer Sentiment,Medium Impact Expected,70.2,70.9,70.3
6147,USD,Revised UoM Inflation Expectations,Low Impact Expected,4.6%,,4.6%
6148,All,Jackson Hole Symposium,High Impact Expected,,,
6149,USD,President Biden Speaks,Low Impact Expected,,,
6150,JPY,Tokyo Core CPI y/y,Low Impact Expected,0.1%,-0.1%,0.0%
6151,AUD,Retail Sales m/m,Medium Impact Expected,-1.8%,-2.6%,-2.7%
6152,EUR,German Import Prices m/m,Low Impact Expected,1.6%,1.2%,2.2%
6153,CAD,IPPI m/m,Low Impact Expected,0.2%,1.4%,-0.4%
6154,CAD,RMPI m/m,Low Impact Expected,3.8%,2.7%,2.2%
6155,USD,Core PCE Price Index m/m,High Impact Expected,0.5%,0.3%,0.3%
6156,USD,Goods Trade Balance,Low Impact Expected,-92.1B,-90.8B,-86.4B
6157,USD,Personal Income m/m,Low Impact Expected,0.2%,0.2%,1.1%
6158,USD,Personal Spending m/m,Low Impact Expected,1.1%,0.4%,0.3%
6159,USD,Prelim Wholesale Inventories m/m,Low Impact Expected,1.1%,1.0%,0.6%
6160,USD,Fed Chair Powell Speaks,High Impact Expected,,,
6161,USD,Revised UoM Consumer Sentiment,Medium Impact Expected,70.2,70.9,70.3
6162,USD,Revised UoM Inflation Expectations,Low Impact Expected,4.6%,,4.6%
6163,All,Jackson Hole Symposium,High Impact Expected,,,
6164,All,Jackson Hole Symposium,Medium Impact Expected,,,
6165,All,Jackson Hole Symposium,Medium Impact Expected,,,
6166,JPY,Retail Sales y/y,Low Impact Expected,0.1%,2.1%,2.4%
6167,AUD,Company Operating Profits q/q,Low Impact Expected,-0.6%,2.5%,7.1%
6168,EUR,German Prelim CPI m/m,Low Impact Expected,0.9%,0.1%,0.0%
6169,CHF,KOF Economic Barometer,Low Impact Expected,130.9,126.3,113.5
6170,EUR,Spanish Flash CPI y/y,Low Impact Expected,2.9%,3.0%,3.3%
6171,GBP,Bank Holiday,Non-Economic,,,
6172,CAD,Current Account,Low Impact Expected,1.2B,1.5B,3.6B
6173,USD,Pending Home Sales m/m,Medium Impact Expected,-2.0%,0.5%,-1.8%
6174,JPY,Retail Sales y/y,Low Impact Expected,0.1%,2.1%,2.4%
6175,AUD,Company Operating Profits q/q,Low Impact Expected,-0.6%,2.5%,7.1%
6176,EUR,German Prelim CPI m/m,Low Impact Expected,0.9%,0.1%,0.0%
6177,CHF,KOF Economic Barometer,Low Impact Expected,130.9,126.3,113.5
6178,EUR,Spanish Flash CPI y/y,Low Impact Expected,2.9%,3.0%,3.3%
6179,GBP,Bank Holiday,Non-Economic,,,
6180,CAD,Current Account,Low Impact Expected,1.2B,1.5B,3.6B
6181,USD,Pending Home Sales m/m,Medium Impact Expected,-2.0%,0.5%,-1.8%
6182,NZD,Building Consents m/m,Low Impact Expected,4.0%,,2.1%
6183,JPY,Unemployment Rate,Low Impact Expected,2.9%,2.9%,2.8%
6184,JPY,Prelim Industrial Production m/m,Low Impact Expected,6.5%,-2.4%,-1.5%
6185,CNY,Manufacturing PMI,Medium Impact Expected,50.4,50.2,50.1
6186,CNY,Non-Manufacturing PMI,Low Impact Expected,53.3,52.1,47.5
6187,NZD,ANZ Business Confidence,Low Impact Expected,-3.8,,-14.2
6188,AUD,Building Approvals m/m,Low Impact Expected,-5.5%,-5.0%,-8.6%
6189,AUD,Current Account,Low Impact Expected,18.9B,21.5B,20.5B
6190,AUD,Private Sector Credit m/m,Low Impact Expected,0.9%,0.5%,0.7%
6191,JPY,Consumer Confidence,Low Impact Expected,37.5,36.1,36.7
6192,JPY,Housing Starts y/y,Low Impact Expected,7.3%,5.4%,9.9%
6193,EUR,French Consumer Spending m/m,Low Impact Expected,0.3%,0.1%,-2.2%
6194,EUR,French Prelim CPI m/m,Low Impact Expected,0.1%,0.4%,0.6%
6195,EUR,French Prelim GDP q/q,Low Impact Expected,0.9%,0.9%,1.1%
6196,EUR,German Unemployment Change,Low Impact Expected,-90K,-40K,-53K
6197,GBP,M4 Money Supply m/m,Low Impact Expected,0.6%,0.6%,0.1%
6198,GBP,Mortgage Approvals,Low Impact Expected,80K,79K,75K
6199,GBP,Net Lending to Individuals m/m,Low Impact Expected,18.0B,3.5B,-1.4B
6200,EUR,Core CPI Flash Estimate y/y,Low Impact Expected,0.7%,1.5%,1.6%
6201,EUR,CPI Flash Estimate y/y,Low Impact Expected,2.2%,2.7%,3.0%
6202,EUR,Italian Prelim CPI m/m,Low Impact Expected,0.5%,0.4%,0.5%
6203,EUR,Italian 10-y Bond Auction,Low Impact Expected,0.66|1.3,,0.67|1.4
6204,CAD,GDP m/m,Medium Impact Expected,-0.5%,0.7%,0.7%
6205,USD,HPI m/m,Low Impact Expected,1.8%,1.9%,1.6%
6206,USD,S&P/CS Composite-20 HPI y/y,Low Impact Expected,17.1%,18.7%,19.1%
6207,USD,Chicago PMI,Medium Impact Expected,73.4,68.0,66.8
6208,USD,CB Consumer Confidence,Medium Impact Expected,125.1,122.9,113.8
6209,NZD,Building Consents m/m,Low Impact Expected,4.0%,,2.1%
6210,JPY,Unemployment Rate,Low Impact Expected,2.9%,2.9%,2.8%
6211,JPY,Prelim Industrial Production m/m,Low Impact Expected,6.5%,-2.4%,-1.5%
6212,CNY,Manufacturing PMI,Medium Impact Expected,50.4,50.2,50.1
6213,CNY,Non-Manufacturing PMI,Low Impact Expected,53.3,52.1,47.5
6214,NZD,ANZ Business Confidence,Low Impact Expected,-3.8,,-14.2
6215,AUD,Building Approvals m/m,Low Impact Expected,-5.5%,-5.0%,-8.6%
6216,AUD,Current Account,Low Impact Expected,18.9B,21.5B,20.5B
6217,AUD,Private Sector Credit m/m,Low Impact Expected,0.9%,0.5%,0.7%
6218,JPY,Consumer Confidence,Low Impact Expected,37.5,36.1,36.7
6219,JPY,Housing Starts y/y,Low Impact Expected,7.3%,5.4%,9.9%
6220,EUR,French Consumer Spending m/m,Low Impact Expected,0.3%,0.1%,-2.2%
6221,EUR,French Prelim CPI m/m,Low Impact Expected,0.1%,0.4%,0.6%
6222,EUR,French Prelim GDP q/q,Low Impact Expected,0.9%,0.9%,1.1%
6223,EUR,German Unemployment Change,Low Impact Expected,-90K,-40K,-53K
6224,GBP,M4 Money Supply m/m,Low Impact Expected,0.6%,0.6%,0.1%
6225,GBP,Mortgage Approvals,Low Impact Expected,80K,79K,75K
6226,GBP,Net Lending to Individuals m/m,Low Impact Expected,18.0B,3.5B,-1.4B
6227,EUR,Core CPI Flash Estimate y/y,Low Impact Expected,0.7%,1.5%,1.6%
6228,EUR,CPI Flash Estimate y/y,Low Impact Expected,2.2%,2.7%,3.0%
6229,EUR,Italian Prelim CPI m/m,Low Impact Expected,0.5%,0.4%,0.5%
6230,EUR,Italian 10-y Bond Auction,Low Impact Expected,0.66|1.3,,0.67|1.4
6231,CAD,GDP m/m,Medium Impact Expected,-0.5%,0.7%,0.7%
6232,USD,HPI m/m,Low Impact Expected,1.8%,1.9%,1.6%
6233,USD,S&P/CS Composite-20 HPI y/y,Low Impact Expected,17.1%,18.7%,19.1%
6234,USD,Chicago PMI,Medium Impact Expected,73.4,68.0,66.8
